数据库：季度数据
时间：最近6季度
指标,2022年第一季度,2021年第四季度,2021年第三季度,2021年第二季度,2021年第一季度,2020年第四季度
国内生产总值当季值(亿元),270177.8,324237.4,289919.3,281528.0,247985.0,295618.8
国内生产总值累计值(亿元),270177.8,1143669.7,819432.3,529513.0,247985.0,1013567.0
第一产业增加值当季值(亿元),10953.8,31472.2,23100.5,17139.0,11373.8,29715.7
第一产业增加值累计值(亿元),10953.8,83085.5,51613.3,28512.8,11373.8,78030.9
第二产业增加值当季值(亿元),106186.6,130649.8,113521.9,114300.6,92432.2,113719.2
第二产业增加值累计值(亿元),106186.6,450904.5,320254.7,206732.7,92432.2,383562.4
第三产业增加值当季值(亿元),153037.4,162115.4,153296.9,150088.4,144179.0,152183.9
第三产业增加值累计值(亿元),153037.4,609679.7,447564.3,294267.4,144179.0,551973.7
农林牧渔业增加值当季值(亿元),11569.8,32822.4,24084.5,17936.2,11932.0,30915.4
农林牧渔业增加值累计值(亿元),11569.8,86775.0,53952.6,29868.1,11932.0,81396.5
工业增加值当季值(亿元),93551.5,105223.3,92925.0,93559.9,80867.1,89798.9
注：1.按当年价格计算。累计数据由当季数据相加得到。
　　　2.三次产业分类依据国家统计局2018年修订的《三次产业划分规定》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔专业及辅助性活动）；第二产业是指采矿业（不含开采专业及辅助性活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。
　　　3.行业分类采用《国民经济行业分类（GB/T 4754－2017）》。
　　　4.2015年之前各季度，其他行业包含信息传输、软件和信息技术服务业，租赁和商务服务业，科学研究和技术服务业，水利、环境和公共设施管理业，居民服务、修理和其他服务业，教育，卫生和社会工作，文化、体育和娱乐业，公共管理、社会保障和社会组织共9个门类行业；2015年及之后各季度，其他行业包含科学研究和技术服务业，水利、环境和公共设施管理业，居民服务、修理和其他服务业，教育，卫生和社会工作，文化、体育和娱乐业，公共管理、社会保障和社会组织共7个门类行业。
数据来源：国家统计局
